epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,10743.7,0.79508,0.32849,0.94998,0.99,0.99094,0.99427,0.83245,0.78332,0.27113,0.93877,0.0016084,0.0016084,0.0016084
86,10869.9,0.79638,0.32907,0.95005,0.99086,0.98993,0.99426,0.83347,0.78316,0.2713,0.93857,0.0015085,0.0015085,0.0015085
87,10995.9,0.78774,0.32313,0.94734,0.9916,0.99033,0.99434,0.83378,0.78262,0.27059,0.93843,0.0014086,0.0014086,0.0014086
88,11122.1,0.7806,0.32019,0.94877,0.9916,0.98986,0.99431,0.83454,0.78272,0.27038,0.9383,0.0013087,0.0013087,0.0013087
89,11248.4,0.77622,0.31583,0.94742,0.9914,0.98926,0.9943,0.83453,0.78306,0.27022,0.93831,0.0012088,0.0012088,0.0012088
90,11374.9,0.78566,0.31804,0.94291,0.9905,0.9896,0.99424,0.83462,0.78308,0.27035,0.93832,0.0011089,0.0011089,0.0011089
91,11503,0.76363,0.2883,0.94491,0.98967,0.98993,0.99425,0.8346,0.78331,0.27014,0.93818,0.001009,0.001009,0.001009
92,11628.1,0.75334,0.28291,0.94329,0.99052,0.98926,0.99423,0.83461,0.78373,0.27012,0.9383,0.0009091,0.0009091,0.0009091
93,11753.6,0.7506,0.28215,0.94213,0.99125,0.98885,0.99422,0.83504,0.78414,0.27005,0.93834,0.0008092,0.0008092,0.0008092
94,11879.4,0.75052,0.27952,0.93869,0.99126,0.98897,0.99422,0.83497,0.78441,0.27006,0.93848,0.0007093,0.0007093,0.0007093
95,12004.8,0.74699,0.27815,0.94051,0.99159,0.98908,0.99422,0.83477,0.78454,0.27009,0.93851,0.0006094,0.0006094,0.0006094
96,12130.2,0.75747,0.27879,0.93778,0.99173,0.98893,0.99422,0.83466,0.78482,0.26972,0.93861,0.0005095,0.0005095,0.0005095
97,12255.5,0.75154,0.27769,0.94055,0.99181,0.98893,0.99422,0.83447,0.78493,0.26987,0.9385,0.0004096,0.0004096,0.0004096
98,12381.1,0.74901,0.27311,0.94037,0.99159,0.98926,0.99422,0.8348,0.78498,0.26974,0.93841,0.0003097,0.0003097,0.0003097
99,12506.7,0.74534,0.27159,0.93615,0.99181,0.98926,0.99423,0.83471,0.78483,0.26957,0.93825,0.0002098,0.0002098,0.0002098
100,12632.5,0.741,0.27241,0.93828,0.99255,0.98893,0.99428,0.8344,0.78483,0.26949,0.93819,0.0001099,0.0001099,0.0001099
