epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,10788.9,0.79831,0.56334,0.97519,0.8576,0.83965,0.91663,0.73046,0.97056,0.58723,1.02721,0.00620038,0.00620038,0.00620038
59,10972,0.8009,0.56123,0.97362,0.8594,0.83241,0.91631,0.72992,0.97331,0.59066,1.02946,0.00613372,0.00613372,0.00613372
60,11160.1,0.79993,0.55884,0.97383,0.86242,0.8433,0.91906,0.73522,0.9654,0.58549,1.02458,0.00606706,0.00606706,0.00606706
61,11347.1,0.78768,0.55099,0.9704,0.86209,0.84028,0.91874,0.73439,0.96293,0.58286,1.0239,0.0060004,0.0060004,0.0060004
62,11534.9,0.79847,0.5592,0.97237,0.86324,0.84569,0.91954,0.73431,0.96451,0.57917,1.02211,0.00593374,0.00593374,0.00593374
63,11722.3,0.79322,0.55645,0.97077,0.85935,0.84319,0.91829,0.73426,0.96464,0.57962,1.02483,0.00586708,0.00586708,0.00586708
64,11911.6,0.78168,0.55072,0.9671,0.85942,0.84133,0.91787,0.7343,0.96674,0.57961,1.02509,0.00580042,0.00580042,0.00580042
65,12102.1,0.78107,0.54652,0.96878,0.86336,0.83945,0.91843,0.73478,0.96242,0.58071,1.02542,0.00573376,0.00573376,0.00573376
66,12290.8,0.78708,0.54876,0.97096,0.85963,0.84153,0.91845,0.73597,0.95894,0.58216,1.02435,0.0056671,0.0056671,0.0056671
67,12478.8,0.7782,0.54338,0.9654,0.86369,0.8399,0.91963,0.73617,0.95916,0.57838,1.02104,0.00560044,0.00560044,0.00560044
68,12668.9,0.79128,0.55031,0.96976,0.85742,0.84527,0.91902,0.73674,0.95849,0.57878,1.02114,0.00553378,0.00553378,0.00553378
69,12856.6,0.79198,0.55322,0.97047,0.86773,0.837,0.92062,0.73839,0.95959,0.5741,1.02326,0.00546712,0.00546712,0.00546712
70,13046.4,0.79041,0.55067,0.97206,0.85975,0.84705,0.92114,0.73933,0.95786,0.57314,1.02199,0.00540046,0.00540046,0.00540046
71,13235.6,0.77983,0.54146,0.96626,0.86551,0.83955,0.92082,0.73871,0.95824,0.57413,1.02301,0.0053338,0.0053338,0.0053338
72,13424.4,0.77395,0.53937,0.9655,0.86776,0.83756,0.9211,0.73942,0.95754,0.57018,1.02395,0.00526714,0.00526714,0.00526714
73,13613.3,0.78311,0.54392,0.96523,0.86643,0.84079,0.92154,0.7403,0.9563,0.56921,1.02324,0.00520048,0.00520048,0.00520048
74,13801.1,0.78183,0.54276,0.96847,0.86523,0.84394,0.92137,0.74025,0.95572,0.56967,1.02316,0.00513382,0.00513382,0.00513382
75,13990.7,0.77196,0.53725,0.96348,0.86675,0.84321,0.92182,0.74135,0.95413,0.5695,1.02102,0.00506716,0.00506716,0.00506716
76,14180.3,0.77644,0.53787,0.96307,0.86922,0.84159,0.92236,0.74324,0.95162,0.56771,1.01727,0.0050005,0.0050005,0.0050005
77,14370.8,0.77997,0.53917,0.96481,0.86667,0.8438,0.92274,0.74253,0.95371,0.56679,1.01757,0.00493384,0.00493384,0.00493384
78,14559,0.77036,0.53459,0.96313,0.86682,0.84378,0.92332,0.74326,0.95078,0.56562,1.0162,0.00486718,0.00486718,0.00486718
79,14748.3,0.76489,0.53291,0.9631,0.86951,0.84077,0.92272,0.74342,0.94913,0.56667,1.01687,0.00480052,0.00480052,0.00480052
80,14937.8,0.7709,0.53169,0.96354,0.86815,0.84494,0.92366,0.74375,0.95075,0.56408,1.01928,0.00473386,0.00473386,0.00473386
81,15127.8,0.7606,0.52497,0.95751,0.85933,0.85158,0.92409,0.74467,0.94851,0.56307,1.0169,0.0046672,0.0046672,0.0046672
82,15317.3,0.76871,0.52981,0.96201,0.86856,0.84192,0.92392,0.74443,0.94933,0.563,1.01668,0.00460054,0.00460054,0.00460054
83,15506.4,0.75876,0.52487,0.95975,0.87157,0.84012,0.92423,0.74504,0.94886,0.56063,1.01702,0.00453388,0.00453388,0.00453388
84,15695.7,0.76194,0.52736,0.96058,0.87076,0.84296,0.9242,0.74497,0.94817,0.56051,1.01674,0.00446722,0.00446722,0.00446722
85,15885.1,0.7687,0.53192,0.96141,0.86705,0.84512,0.92378,0.74469,0.94757,0.56105,1.01619,0.00440056,0.00440056,0.00440056
86,16073.8,0.76404,0.5262,0.9596,0.86258,0.84985,0.92384,0.74494,0.94733,0.55929,1.01551,0.0043339,0.0043339,0.0043339
87,16262.2,0.75971,0.52258,0.96191,0.86523,0.84727,0.92378,0.74451,0.94734,0.55983,1.01519,0.00426724,0.00426724,0.00426724
88,16450.5,0.76712,0.52976,0.96053,0.86267,0.85043,0.92373,0.74487,0.94751,0.55976,1.01493,0.00420058,0.00420058,0.00420058
