epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
55,13469.7,0.52473,0.52894,0.14628,0.81469,0.74926,0.80369,0.54891,0.464,0.54333,0.15473,0.00640036,0.00640036,0.00640036
56,13713.9,0.51951,0.52221,0.14292,0.82365,0.75586,0.81955,0.57056,0.45089,0.52203,0.1515,0.0063337,0.0063337,0.0063337
57,13958.8,0.51428,0.52332,0.14414,0.81378,0.7685,0.82329,0.57784,0.44142,0.52646,0.1528,0.00626704,0.00626704,0.00626704
58,14202.2,0.52045,0.5211,0.14413,0.83111,0.76848,0.82677,0.58115,0.43809,0.51431,0.146,0.00620038,0.00620038,0.00620038
59,14447.4,0.51772,0.52665,0.14391,0.83271,0.76209,0.8242,0.57187,0.44667,0.51092,0.15184,0.00613372,0.00613372,0.00613372
60,14692.3,0.51576,0.52729,0.14353,0.82157,0.76453,0.82471,0.57353,0.44937,0.5187,0.1492,0.00606706,0.00606706,0.00606706
61,14935.4,0.51168,0.52302,0.142,0.81371,0.77829,0.83343,0.58162,0.44224,0.5155,0.14678,0.0060004,0.0060004,0.0060004
62,15180.5,0.51969,0.5204,0.14424,0.82481,0.76786,0.83229,0.58432,0.43735,0.50796,0.146,0.00593374,0.00593374,0.00593374
63,15423.3,0.51948,0.51508,0.14458,0.82395,0.76396,0.82954,0.5862,0.43535,0.50851,0.14479,0.00586708,0.00586708,0.00586708
64,15666.4,0.50557,0.52294,0.14115,0.82975,0.77117,0.8333,0.59017,0.43324,0.50302,0.14495,0.00580042,0.00580042,0.00580042
65,15910.1,0.51212,0.51612,0.14055,0.83333,0.76851,0.83358,0.58874,0.43489,0.50942,0.14614,0.00573376,0.00573376,0.00573376
66,16155.7,0.50757,0.51877,0.14426,0.83496,0.77601,0.83919,0.59742,0.4286,0.50343,0.1407,0.0056671,0.0056671,0.0056671
67,16401.2,0.50477,0.51485,0.14045,0.83802,0.76217,0.8283,0.59083,0.42774,0.50563,0.14125,0.00560044,0.00560044,0.00560044
68,16644.9,0.50384,0.51512,0.13932,0.83393,0.78144,0.8437,0.60169,0.42695,0.49996,0.14078,0.00553378,0.00553378,0.00553378
69,16889.4,0.51314,0.51635,0.14195,0.82736,0.78132,0.83841,0.6008,0.42718,0.51007,0.14181,0.00546712,0.00546712,0.00546712
70,17133.4,0.50526,0.51099,0.13911,0.83537,0.78017,0.84031,0.60226,0.42424,0.49789,0.13933,0.00540046,0.00540046,0.00540046
71,17380.4,0.51053,0.50908,0.14019,0.8331,0.78063,0.83751,0.60141,0.4235,0.49985,0.13878,0.0053338,0.0053338,0.0053338
72,17628,0.50269,0.5134,0.14069,0.82694,0.78182,0.83785,0.60211,0.4226,0.50266,0.13901,0.00526714,0.00526714,0.00526714
73,17874.9,0.50524,0.51212,0.13932,0.83101,0.78304,0.84146,0.605,0.42197,0.49746,0.13813,0.00520048,0.00520048,0.00520048
74,18120.5,0.50697,0.50808,0.13784,0.82673,0.78965,0.84444,0.60769,0.42137,0.4959,0.13825,0.00513382,0.00513382,0.00513382
75,18365.3,0.50612,0.51104,0.14116,0.83818,0.77983,0.84347,0.60592,0.4215,0.49465,0.13784,0.00506716,0.00506716,0.00506716
76,18610.6,0.51634,0.51178,0.14269,0.83062,0.7846,0.84243,0.6054,0.42295,0.49675,0.13933,0.0050005,0.0050005,0.0050005
77,18857,0.5043,0.51364,0.14013,0.83431,0.79188,0.84777,0.61001,0.42058,0.49272,0.13842,0.00493384,0.00493384,0.00493384
78,19102.7,0.49566,0.50973,0.13746,0.83369,0.79064,0.84856,0.60979,0.42064,0.49426,0.13917,0.00486718,0.00486718,0.00486718
79,19349.8,0.50508,0.51059,0.14084,0.82957,0.78428,0.84598,0.60664,0.42294,0.49773,0.13928,0.00480052,0.00480052,0.00480052
80,19595.3,0.50172,0.50671,0.1376,0.82951,0.78378,0.84445,0.60558,0.42328,0.49596,0.14017,0.00473386,0.00473386,0.00473386
81,19840.5,0.49751,0.50342,0.13506,0.82265,0.78911,0.84442,0.60542,0.42342,0.497,0.1404,0.0046672,0.0046672,0.0046672
82,20085.7,0.50031,0.50971,0.13759,0.82799,0.78895,0.84755,0.60623,0.42433,0.4984,0.1397,0.00460054,0.00460054,0.00460054
83,20329.4,0.49394,0.51109,0.13714,0.83439,0.79053,0.84951,0.60911,0.42247,0.49565,0.13933,0.00453388,0.00453388,0.00453388
84,20574.9,0.49588,0.50371,0.13589,0.83894,0.78923,0.85081,0.61183,0.42083,0.49082,0.13871,0.00446722,0.00446722,0.00446722
85,20819.1,0.49221,0.50629,0.13457,0.83342,0.79327,0.85178,0.61401,0.41894,0.49039,0.13792,0.00440056,0.00440056,0.00440056
86,21064.1,0.49285,0.50745,0.13558,0.83478,0.79425,0.85196,0.61381,0.41914,0.48911,0.13794,0.0043339,0.0043339,0.0043339
87,21309.8,0.49092,0.5028,0.13444,0.83423,0.79408,0.85116,0.6142,0.41868,0.48979,0.13752,0.00426724,0.00426724,0.00426724
88,21554.5,0.48478,0.49969,0.13069,0.83642,0.79127,0.85123,0.61467,0.41753,0.4907,0.13704,0.00420058,0.00420058,0.00420058
89,21800.9,0.49259,0.50108,0.13527,0.83724,0.79332,0.85174,0.61624,0.41709,0.48813,0.13695,0.00413392,0.00413392,0.00413392
90,22047.5,0.48515,0.50196,0.13466,0.83634,0.79406,0.85183,0.61631,0.41679,0.4881,0.13697,0.00406726,0.00406726,0.00406726
91,22294.2,0.495,0.50481,0.1357,0.84027,0.79234,0.85276,0.61724,0.41622,0.48682,0.13655,0.0040006,0.0040006,0.0040006
92,22538.4,0.48525,0.49947,0.13297,0.84359,0.79196,0.85315,0.61802,0.41591,0.48677,0.13649,0.00393394,0.00393394,0.00393394
93,22782.8,0.49084,0.50181,0.13237,0.84218,0.79344,0.85327,0.6183,0.41561,0.48719,0.13625,0.00386728,0.00386728,0.00386728
94,23029.1,0.48245,0.49883,0.13058,0.84173,0.79439,0.85319,0.61801,0.41557,0.48765,0.13628,0.00380062,0.00380062,0.00380062
95,23276.4,0.48916,0.49915,0.13312,0.83949,0.79601,0.85331,0.6181,0.41532,0.48774,0.13612,0.00373396,0.00373396,0.00373396
96,23523.6,0.4838,0.49794,0.13222,0.8383,0.79653,0.85325,0.61898,0.41482,0.48782,0.13582,0.0036673,0.0036673,0.0036673
97,23769.6,0.48432,0.5003,0.13182,0.83629,0.79818,0.85306,0.61917,0.41479,0.48814,0.13589,0.00360064,0.00360064,0.00360064
98,24015.9,0.48811,0.49572,0.13267,0.83979,0.79596,0.85354,0.61983,0.4145,0.48728,0.1358,0.00353398,0.00353398,0.00353398
